county,state,county_fips,cases_by_county,deaths_by_county,rate_by_county,pop,area,pop_density,cases_per_cap,deaths_per_cap,2016_winner,2016_winner_adj
Jerauld,South Dakota,46073,167,12,0.07185628743,2013,532.63,3.8,8296,596,rep,1
Emporia,Virginia,51595,300,28,0.09333333333,5346,6.97,767.0,5612,524,dem,0
Hancock,Georgia,13141,425,44,0.1035294118,8457,478.76,17.7,5025,520,dem,0
Kenedy,Texas,48261,11,2,0.1818181818,404,1945.6,0.2,2723,495,dem,0
Galax,Virginia,51640,460,30,0.0652173913,6347,8.23,771.2,7248,473,rep,1
Gove,Kansas,20063,199,12,0.06030150754,2636,1071.47,2.5,7549,455,rep,1
Randolph,Georgia,13243,356,29,0.08146067416,6778,430.89,15.7,5252,428,dem,0
Neshoba,Mississippi,28099,1899,111,0.05845181675,29118,571.64,50.9,6522,381,rep,1
Terrell,Georgia,13273,378,32,0.08465608466,8531,337.63,25.3,4431,375,dem,0
Jenkins,Georgia,13165,479,32,0.06680584551,8676,352.45,24.6,5521,369,rep,1
McKinley,New Mexico,35031,4729,261,0.05519137238,71367,5455.22,13.1,6626,366,dem,0
Holmes,Mississippi,28051,1155,60,0.05194805195,17010,764.18,22.3,6790,353,dem,0
Sharkey,Mississippi,28125,292,15,0.05136986301,4321,434.88,9.9,6758,347,dem,0
Perkins,Nebraska,31135,51,10,0.1960784314,2891,884.27,3.3,1764,346,rep,1
Early,Georgia,13099,597,35,0.05862646566,10190,516.27,19.7,5859,343,rep,1
Clarke,Mississippi,28023,789,53,0.06717363752,15541,693.41,22.4,5077,341,rep,1
Norton,Kansas,20137,715,18,0.02517482517,5361,881.39,6.1,13337,336,rep,1
Ness,Kansas,20135,157,9,0.05732484076,2750,1075,2.6,5709,327,rep,1
Brooks,Texas,48047,365,23,0.06301369863,7093,943.61,7.5,5146,324,dem,0
Leflore,Mississippi,28083,1761,88,0.04997160704,28183,606.35,46.5,6248,312,dem,0
Little River,Arkansas,5081,478,37,0.07740585774,12259,564.87,21.7,3899,302,rep,1
Issaquena,Mississippi,28055,107,4,0.03738317757,1327,441.36,3.0,8063,301,dem,0
Turner,Georgia,13287,384,24,0.0625,7985,289.85,27.5,4809,301,rep,1
Lowndes,Alabama,1085,726,29,0.03994490358,9726,725.03,13.4,7465,298,dem,0
Powder River,Montana,30075,65,5,0.07692307692,1682,3297.94,0.5,3864,297,rep,1
Union,Florida,12125,1139,45,0.03950834065,15237,249.71,61.0,7475,295,rep,1
Wilcox,Georgia,13315,318,25,0.0786163522,8635,383.3,22.5,3683,290,rep,1
New York,New York,NYC,267929,24001,0.08957970209,8336817,302.6,27550.6,3214,288,dem,0
Starr,Texas,48427,3963,185,0.04668180671,64633,1229.28,52.6,6132,286,dem,0
Big Horn,Montana,30003,1399,38,0.02716225876,13319,5014.65,2.7,10504,285,dem,0
Emmons,North Dakota,38029,286,9,0.03146853147,3241,1554.72,2.1,8824,278,rep,1
Roosevelt,Montana,30085,980,30,0.0306122449,11004,2369.65,4.6,8906,273,rep,1
LaMoure,North Dakota,38045,215,11,0.0511627907,4046,1150.81,3.5,5314,272,rep,1
Bottineau,North Dakota,38009,335,17,0.05074626866,6282,1697.74,3.7,5333,271,rep,1
Upson,Georgia,13293,1278,71,0.05555555556,26320,327.64,80.3,4856,270,rep,1
Essex,New Jersey,34013,25347,2144,0.08458594705,798975,129.56,6166.8,3172,268,dem,0
Northampton,Virginia,51131,320,31,0.096875,11710,795.34,14.7,2733,265,dem,0
Willacy,Texas,48489,1247,56,0.04490777867,21358,784.23,27.2,5839,262,dem,0
Val Verde,Texas,48465,2625,128,0.04876190476,49025,3232.4,15.2,5354,261,dem,0
Newton,Arkansas,5101,322,20,0.06211180124,7753,823.18,9.4,4153,258,rep,1
Bolivar,Mississippi,28011,2072,79,0.03812741313,30628,905.76,33.8,6765,258,dem,0
Maverick,Texas,48323,4292,151,0.03518173346,58722,1291.74,45.5,7309,257,dem,0
Cameron,Texas,48061,24280,1083,0.04460461285,423163,1276.33,331.5,5738,256,dem,0
Passaic,New Jersey,34031,21296,1262,0.05925995492,501826,197.05,2546.7,4244,251,dem,0
Union,New Jersey,34039,20720,1374,0.06631274131,556341,105.46,5275.4,3724,247,dem,0
Knox,Texas,48275,114,9,0.07894736842,3664,855.43,4.3,3111,246,rep,1
Dakota,Nebraska,31043,2633,49,0.01860995063,20026,267.39,74.9,13148,245,rep,1
McHenry,North Dakota,38049,222,14,0.06306306306,5745,1911.71,3.0,3864,244,rep,1
Wilkinson,Mississippi,28157,346,21,0.06069364162,8630,687.66,12.5,4009,243,dem,0
Bamberg,South Carolina,45009,697,34,0.0487804878,14066,395.47,35.6,4955,242,dem,0
Stewart,Georgia,13259,613,16,0.02610114192,6621,463.23,14.3,9258,242,dem,0
Gregory,South Dakota,46053,248,10,0.04032258065,4185,1053.45,4.0,5926,239,rep,1
Johnson,Georgia,13167,492,23,0.04674796748,9643,306.52,31.5,5102,239,rep,1
Apache,Arizona,4001,4003,171,0.04271796153,71887,11218.42,6.4,5568,238,dem,0
Montgomery,Mississippi,28097,575,23,0.04,9775,407.86,24.0,5882,235,rep,1
Rosebud,Montana,30087,853,21,0.02461899179,8937,5026.94,1.8,9545,235,rep,1
Iron,Michigan,26071,475,26,0.05473684211,11066,1211.02,9.1,4292,235,rep,1
Real,Texas,48385,126,8,0.06349206349,3452,700.04,4.9,3650,232,rep,1
